Hexandithiol [Mol% Thiole];TMMP [Mol% Thiole];PETMP [Mol% Thiole];ETTMP700 [Mol% Thiole];ETTMP1300 [Mol% Thiole];PCL4MP [Mol% Thiole];Polarität;Kraft
100;0;0;0;0;0;3.19604194;2
98.31932773;1.680672269;0;0;0;0;3.205211412;1.65
96.61016949;3.389830508;0;0;0;0;3.219345768;2.1
94.87179487;5.128205128;0;0;0;0;3.232442796;1.5
93.10344828;6.896551724;0;0;0;0;3.244375176;2.85
89.47368421;10.52631579;0;0;0;0;3.262009149;1.8
85.71428571;14.28571429;0;0;0;0;3.286107417;2.9
81.81818182;18.18181818;0;0;0;0;3.309973472;2.1
77.77777778;22.22222222;0;0;0;0;3.315127134;3.8
98.73417722;0;1.265822785;0;0;0;3.210068079;1.85
97.43589744;0;2.564102564;0;0;0;3.215721214;1.1
96.1038961;0;3.896103896;0;0;0;3.227663732;1.2
94.73684211;0;5.263157895;0;0;0;3.236299856;2.15
91.89189189;0;8.108108108;0;0;0;3.253258486;2.35
88.88888889;0;11.11111111;0;0;0;3.272235859;2.35
85.71428571;0;14.28571429;0;0;0;3.28473507;2.25
82.35294118;0;17.64705882;0;0;0;3.295468456;2.2
98.31932773;0;0;1.680672269;0;0;3.184830736;2
96.61016949;0;0;3.389830508;0;0;3.170662809;2.8
94.87179487;0;0;5.128205128;0;0;3.159848213;2.15
93.10344828;0;0;6.896551724;0;0;3.151078289;2.1
89.47368421;0;0;10.52631579;0;0;3.135174339;2.95
85.71428571;0;0;14.28571429;0;0;3.120294056;4.2
98.31932773;0;0;0;1.680672269;0;3.031062269;3.25
96.61016949;0;0;0;3.389830508;0;2.883387929;2.55
94.87179487;0;0;0;5.128205128;0;2.748325971;3.55
93.10344828;0;0;0;6.896551724;0;2.621218007;5.95
99.32366578;0;0;0;0;0.67633422;3.365872989;2.4
97.28058312;0;0;0;0;2.719416879;3.808338681;2.1
96.06017589;0;0;0;0;3.939824111;4.086545605;2.8
94.33351725;0;0;0;0;5.666482755;4.39391294;2.55
91.05870519;0;0;0;0;8.941294811;4.920381255;3.15
87.54514884;0;0;0;0;12.45485116;5.410381399;2.75
84.05548691;0;0;0;0;15.94451309;5.808041197;1.55
81.18905005;0;0;0;0;18.81094995;6.084676975;1.4
72.49630419;0;0;0;0;27.50369581;6.76176734;0.7
62.30094248;0;0;0;0;37.69905752;7.360549811;0.3
55.95298113;0;0;0;0;44.04701887;7.546071345;0.35
45.75476816;0;0;0;0;54.24523184;7.809075861;0.25
31.38553589;0;0;0;0;68.61446411;8.265303338;0.25
14.73718786;0;0;0;0;85.26281214;8.794123051;0.65
94.06661623;0;1.237718635;0;0;4.695665138;4.236997381;3.4
94.09609396;0;3.920670581;0;0;1.983235463;3.661937448;3.05
93.38847093;0;1.297062096;0;0;5.314466976;4.307350887;6.7
95.05558971;0;2.640433048;0;0;2.303977241;3.720922545;2.45
90.9923699;0;5.352492347;0;0;3.655137753;3.993767573;4.4
91.95954569;0;2.70469252;0;0;5.335761789;4.294234961;4.7
89.52263193;0;5.595164496;0;0;4.882203572;4.173464517;4
81.50870257;0;11.64410037;0;0;6.847197067;4.467542805;7.55
81.57334107;0;5.826667219;0;0;12.59999171;5.27022516;2.1
73.75118404;0;18.43779601;0;0;7.81101995;4.631534586;5.4
72.2120439;0;12.03534065;0;0;15.75261545;5.680734342;1.1
73.87477338;0;6.156231115;0;0;19.96899551;6.111269296;0.325
64.42102948;0;19.32630884;0;0;16.25266168;5.597095885;0.8
64.0856542;0;12.81713084;0;0;23.09721496;6.290117188;0.6
63.67674547;0;6.367674547;0;0;29.95557998;6.885810783;0.4
96.61016949;1.694915254;0;1.694915254;0;0;3.201758734;1.7
93.10344828;5.172413793;0;1.724137931;0;0;3.214402723;2.45
93.10344828;1.724137931;0;5.172413793;0;0;3.169566952;2.65
93.10344828;3.448275862;0;3.448275862;0;0;3.206339714;3.55
89.47368421;7.01754386;0;3.50877193;0;0;3.22164099;2.6
89.47368421;3.50877193;0;7.01754386;0;0;3.184509896;3.6
85.71428571;7.142857143;0;7.142857143;0;0;3.207287654;1.95
77.77777778;14.81481481;0;7.407407407;0;0;3.242375867;2.65
96.61016949;1.694915254;0;0;1.694915254;0;3.047447163;2.3
93.10344828;5.172413793;0;0;1.724137931;0;3.071659188;2.45
93.10344828;1.724137931;0;0;5.172413793;0;2.756391171;6.5
93.10344828;3.448275862;0;0;3.448275862;0;2.908348342;4.5
89.47368421;7.01754386;0;0;3.50877193;0;2.933076204;4.25
89.47368421;3.50877193;0;0;7.01754386;0;2.647154371;5.3
85.71428571;7.142857143;0;0;7.142857143;0;2.661965366;4.45
90.9578598;0;0;0;1.595751926;7.446388275;4.707847334;2.6
91.18636983;0;0;0;5.065909435;3.747720737;3.580226071;2.9
94.31992128;0;0;0;3.493330418;2.186748305;3.38818011;5.15
90.6635137;0;0;0;7.11086382;2.225622479;3.089801719;5.3
90.86067973;0;0;0;3.563163911;5.576156355;4.063211649;3.45
87.42809167;0;0;0;7.285674306;5.286234025;3.646832342;1.35
80.28031131;0;0;0;7.645743934;12.07394475;4.592223593;0.7
72.38928939;0;0;0;8.043254377;19.56745623;5.396517135;0.5
96.61016949;0;0;1.694915254;1.694915254;0;3.024533336;2
93.10344828;0;0;5.172413793;1.724137931;0;3.016382802;3.25
93.10344828;0;0;1.724137931;5.172413793;0;2.740945466;3.1
93.10344828;0;0;3.448275862;3.448275862;0;2.875284672;6.2
89.47368421;0;0;7.01754386;3.50877193;0;2.86974485;3.7
89.47368421;0;0;3.50877193;7.01754386;0;2.61897738;5.15
97.0212766;1.70212766;1.276595745;0;0;0;3.214914523;1.85
93.50649351;5.194805195;1.298701299;0;0;0;3.236514547;2.2
94.3231441;1.746724891;3.930131004;0;0;0;3.228756101;2.5
93.91304348;3.47826087;2.608695652;0;0;0;3.232082711;2.35
0;100;0;0;0;0;3.54229765;0.25
0;0;0;0;100;0;9.033101045;0.4
69.23076923;30.76923077;0;0;0;0;3.358610272;5.7
60;40;0;0;0;0;3.39375;6.4
39.13043478;60.86956522;0;0;0;0;3.455211268;4.2
0;100;0;0;0;0;3.55257732;0.05
66.66666667;0;33.33333333;0;0;0;3.348445122;7
46.15384615;0;53.84615385;0;0;0;3.40260745;5.15
0;0;100;0;0;0;3.477417582;0.1
81.81818182;0;0;18.18181818;0;0;3.105013928;3.1
77.77777778;0;0;22.22222222;0;0;3.090871935;2.2
60;0;0;40;0;0;3.04443128;0.7
39.13043478;0;0;60.86956522;0;0;3.009447983;0.8
0;0;0;100;0;0;2.966911765;0.75
89.47368421;0;0;0;10.52631579;0;2.389015957;1.15
85.71428571;0;0;0;14.28571429;0;2.192936893;0.4
77.77777778;0;0;0;22.22222222;0;1.888763326;0.2
60;0;0;0;40;0;1.431099476;0.3
39.13043478;0;0;0;60.86956522;0;1.126295224;0.35
0;0;0;0;100;0;0.829639535;0.6
66.66666667;0;26.66666667;0;0;6.666666667;4.356557377;3.5
49.99749987;0;33.33500008;0;0;16.66750004;5.340287081;0.4
49.99749987;0;16.66750004;0;0;33.33500008;6.738466258;0.25
49.99749987;0;25.00125006;0;0;25.00125006;6.116931567;0.25
26.08695652;0;13.04347826;0;0;60.86956522;7.813881356;0.15
26.08695652;0;36.95652174;0;0;36.95652174;6.58962;0.15
26.08695652;0;60.86956522;0;0;13.04347826;4.835876543;0.15
0;0;33.33333333;0;0;66.66666667;7.628939394;0.1
0;0;66.66666667;0;0;33.33333333;6.033006263;0
77.77777778;14.81481481;0;7.407407407;0;0;3.232228916;6.5
77.77777778;7.407407407;0;14.81481481;0;0;3.164788732;3.4
69.23076923;23.07692308;0;7.692307692;0;0;3.274212034;5.05
69.23076923;15.38461538;0;15.38461538;0;0;3.207629428;3.6
69.23076923;7.692307692;0;23.07692308;0;0;3.128289474;1.8
60;32;0;8;0;0;3.307714286;3.1
60;24;0;16;0;0;3.233787466;1.9
60;16;0;24;0;0;3.167525773;1.2
60;8;0;32;0;0;3.105445545;1.25
42.85469377;38.09687082;0;19.04843541;0;0;3.279719388;0.75
42.85469377;19.04843541;0;38.09687082;0;0;3.135058824;0.6
42.85469377;28.57265311;0;28.57265311;0;0;3.205569007;0.55
20.93023256;13.95348837;0;65.11627907;0;0;3.057954545;1.8
20.93023256;39.53488372;0;39.53488372;0;0;3.20890411;1.05
20.93023256;65.11627907;0;13.95348837;0;0;3.383585859;1.2
0;33.33333333;0;66.66666667;0;0;3.118609407;2.65
0;66.66666667;0;33.33333333;0;0;3.302488688;1.65
77.77777778;14.81481481;0;0;7.407407407;0;2.724098361;3.95
77.77777778;7.407407407;0;0;14.81481481;0;2.237894737;1.05
69.23076923;23.07692308;0;0;7.692307692;0;2.754026316;2.8
69.23076923;15.38461538;0;0;15.38461538;0;2.297877358;0.65
69.23076923;7.692307692;0;0;23.07692308;0;1.921894737;0.5
60;32;0;0;8;0;2.79492268;1.85
60;24;0;0;16;0;2.359862385;0.5
60;16;0;0;24;0;1.984770833;0.25
60;8;0;0;32;0;1.680772128;0.3
42.85469377;38.09687082;0;0;19.04843541;0;2.361079914;0.45
42.85469377;19.04843541;0;0;38.09687082;0;1.659190141;0.3
42.85469377;28.57265311;0;0;28.57265311;0;1.96431068;0.2
20.93023256;13.95348837;0;0;65.11627907;0;1.187774608;0.8
20.93023256;39.53488372;0;0;39.53488372;0;1.784045534;0.15
20.93023256;65.11627907;0;0;13.95348837;0;2.710748299;0.3
0;33.33333333;0;0;66.66666667;0;1.317578797;0.7
0;66.66666667;0;0;33.33333333;0;2.111801471;0.2
79.24528302;0;0;0;15.09433962;5.660377358;3.162075055;0.9
70.58823529;0;0;0;23.52941176;5.882352941;2.760710059;0.2
72;0;0;0;16;12;3.931544715;0.35
61.2244898;0;0;0;32.65306122;6.12244898;2.422192513;0.25
62.5;0;0;0;25;12.5;3.495418182;0.2
63.82978723;0;0;0;17.0212766;19.14893617;4.601641509;0.15
65.2173913;0;0;0;8.695652174;26.08695652;5.838123791;0.3
44.99752489;0;0;0;40.00180008;15.00067503;3.134204724;0.35
47.36592786;0;0;0;21.05362886;31.58044328;5.34968386;0.5
46.15136083;0;0;0;30.77065095;23.07798821;4.194780488;0.55
25;0;0;0;16.66666667;58.33333333;6.843223881;0.75
23.22580645;0;0;0;43.87096774;32.90322581;4.306016949;0.55
21.68674699;0;0;0;67.46987952;10.84337349;2.084786096;0.75
0;0;0;0;40;60;5.773885942;0.6
0;0;0;0;72.72727273;27.27272727;3.134170792;0.45
85.71428571;0;0;7.142857143;7.142857143;0;2.626078947;2.9
77.77777778;0;0;14.81481481;7.407407407;0;2.640970149;2.2
77.77777778;0;0;7.407407407;14.81481481;0;2.218221709;0.45
69.23076923;0;0;23.07692308;7.692307692;0;2.628126464;1.75
69.23076923;0;0;15.38461538;15.38461538;0;2.250656455;0.45
69.23076923;0;0;7.692307692;23.07692308;0;1.903721881;0.25
60;0;0;32;8;0;2.649107143;1
60;0;0;24;16;0;2.282981366;0.4
60;0;0;16;24;0;1.964520548;0.2
60;0;0;8;32;0;1.673793738;0.3
42.85469377;0;0;38.09687082;19.04843541;0;2.23979206;0.45
42.85469377;0;0;19.04843541;38.09687082;0;1.646036789;0.55
42.85469377;0;0;28.57265311;28.57265311;0;1.925719361;0.45
20.93023256;0;0;13.95348837;65.11627907;0;1.206850829;0.1
20.93023256;0;0;39.53488372;39.53488372;0;1.76321821;0.4
20.93023256;0;0;65.11627907;13.95348837;0;2.486539855;0.45
0;0;0;33.33333333;66.66666667;0;1.33368984;0.55
0;0;0;66.66666667;33.33333333;0;2.024459877;0.2
70.58823529;23.52941176;5.882352941;0;0;0;3.347767584;4.1
72;16;12;0;0;0;3.345151515;4.35
73.46938776;8.163265306;18.36734694;0;0;0;3.332453988;2.85
61.2244898;32.65306122;6.12244898;0;0;0;3.38611276;4.1
62.5;25;12.5;0;0;0;3.373443114;4.35
63.82978723;17.0212766;19.14893617;0;0;0;3.369461078;4.3
65.2173913;8.695652174;26.08695652;0;0;0;3.353644578;4.9
44.99752489;40.00180008;15.00067503;0;0;0;3.429458689;7.35
47.36592786;21.05362886;31.58044328;0;0;0;3.408410405;8.3
46.15136083;30.77065095;23.07798821;0;0;0;3.425480226;7.7
25;16.66666667;58.33333333;0;0;0;3.45369146;3.05
23.22580645;43.87096774;32.90322581;0;0;0;3.484661247;1.2
21.68674699;67.46987952;10.84337349;0;0;0;3.490673854;1.8
0;40;60;0;0;0;3.503456464;0.2
0;72.72727273;27.27272727;0;0;0;3.517089947;0.15
